SIGUN_CD,SIGUN_NM,MESURSTN_NM,INSTL_YY,MESRNW_NM,MESURE_DAY_TM,SUA_GAS_DNST_VL,COMNXD_DNST_VL,NO2_DNST_VL,OZONE_DNST_VL,FINEDUST_PM10_DNST_VL,FINEDUST_PM2_5_DNST_VL
41190,부천시,소사본동,1986,도시대기,2023-01-01 01:00,0.003,0.9,0.055,0.0,68,37.0
41190,부천시,내동,1986,도시대기,2023-01-01 01:00,0.003,0.8,0.048,0.003,66,52.0
41190,부천시,중2동,1998,도시대기,2023-01-01 01:00,0.002,0.8,0.042,0.008,71,42.0
41190,부천시,오정동,2000,도시대기,2023-01-01 01:00,0.003,0.8,0.041,0.008,76,54.0
41190,부천시,송내대로(중동),2004,도로변대기,2023-01-01 01:00,0.003,0.8,0.043,0.004,69,46.0
41800,연천군,연천(DMZ),2020,교외대기,2023-01-01 01:00,0.003,0.7,0.017,0.025,90,39.0
41110,수원시,신풍동,1986,도시대기,2023-01-01 01:00,0.003,1.1,0.057,0.001,36,31.0
41110,수원시,인계동,1987,도시대기,2023-01-01 01:00,0.003,1.4,0.056,0.002,57,50.0
41110,수원시,영통동,2001,도시대기,2023-01-01 01:00,0.002,1.4,0.06,0.003,43,39.0
41110,수원시,천천동,2003,도시대기,2023-01-01 01:00,0.002,0.9,0.052,0.001,36,30.0
41110,수원시,경수대로(동수원),2004,도로변대기,2023-01-01 01:00,0.002,1.2,0.058,0.001,57,45.0
41110,수원시,고색동,2006,도시대기,2023-01-01 01:00,0.002,1.0,0.043,0.001,56,42.0
41110,수원시,호매실,2022,도시대기,2023-01-01 01:00,0.002,1.1,0.047,0.001,48,32.0
41130,성남시,대왕판교로(백현동),2011,도로변대기,2023-01-01 01:00,0.008,1.5,0.041,0.003,48,41.0
41130,성남시,단대동,1993,도시대기,2023-01-01 01:00,0.002,0.7,0.057,0.002,43,38.0
41130,성남시,정자동,1998,도시대기,2023-01-01 01:00,0.002,0.7,0.038,0.007,68,40.0
41130,성남시,수내동,2003,도시대기,2023-01-01 01:00,0.002,0.9,0.048,0.001,53,40.0
41130,성남시,성남대로(모란역),2004,도로변대기,2023-01-01 01:00,0.003,0.8,0.052,0.001,50,41.0
41130,성남시,복정동,2005,도시대기,2023-01-01 01:00,0.003,0.7,0.044,0.007,59,45.0
41130,성남시,운중동,2009,도시대기,2023-01-01 01:00,0.002,0.6,0.032,0.002,35,30.0
41130,성남시,상대원동,2008,도시대기,2023-01-01 01:00,0.002,0.9,0.041,0.003,47,29.0
41150,의정부시,의정부동,1994,도시대기,2023-01-01 01:00,0.003,0.9,0.035,0.0,63,51.0
41150,의정부시,의정부1동,2002,도시대기,2023-01-01 01:00,0.006,1.4,0.064,0.001,66,52.0
41150,의정부시,송산3동,2020,도시대기,2023-01-01 01:00,0.003,0.9,0.043,0.012,50,46.0
41170,안양시,안양8동,1993,도시대기,2023-01-01 01:00,0.003,0.7,0.046,0.002,45,42.0
41170,안양시,부림동,1998,도시대기,2023-01-01 01:00,0.003,1.1,0.045,0.001,49,42.0
41170,안양시,호계동,1992,도시대기,2023-01-01 01:00,0.002,0.6,0.036,0.003,53,41.0
41170,안양시,안양2동,2004,도시대기,2023-01-01 01:00,0.001,1.0,0.054,0.005,41,35.0
41210,광명시,철산동,1986,도시대기,2023-01-01 01:00,0.003,1.0,0.044,0.004,55,46.0
41210,광명시,소하동,1998,도시대기,2023-01-01 01:00,0.003,0.8,0.044,0.003,60,43.0
41270,안산시,고잔동,1987,도시대기,2023-01-01 01:00,0.002,0.9,0.047,0.001,38,28.0
41270,안산시,원시동,1990,도시대기,2023-01-01 01:00,0.003,0.8,0.041,0.002,53,38.0
41270,안산시,본오동,1998,도시대기,2023-01-01 01:00,0.002,1.0,0.039,0.001,41,35.0
41270,안산시,원곡동,1999,도시대기,2023-01-01 01:00,0.003,1.4,0.059,0.003,77,60.0
41270,안산시,부곡동1,2001,도시대기,2023-01-01 01:00,0.003,1.2,0.054,0.002,51,35.0
41270,안산시,대부동,2001,도시대기,2023-01-01 01:00,0.004,0.6,0.016,0.03,77,49.0
41270,안산시,호수동,2003,도시대기,2023-01-01 01:00,0.003,1.1,0.061,0.002,50,32.0
41270,안산시,중앙대로(고잔동),2009,도로변대기,2023-01-01 01:00,0.003,1.2,0.053,,49,42.0
41290,과천시,별양동,1991,도시대기,2023-01-01 01:00,0.002,0.8,0.042,0.003,49,32.0
41290,과천시,과천동,2000,도시대기,2023-01-01 01:00,0.003,0.6,0.034,0.01,42,37.0
41310,구리시,교문동,1987,도시대기,2023-01-01 01:00,0.003,0.8,0.046,0.002,60,48.0
41310,구리시,동구동,2001,도시대기,2023-01-01 01:00,0.002,0.8,0.04,0.001,57,54.0
41430,의왕시,부곡3동,2002,도시대기,2023-01-01 01:00,0.002,0.8,0.053,0.001,59,35.0
41430,의왕시,고천동,1995,도시대기,2023-01-01 01:00,0.002,0.6,0.042,0.003,34,28.0
41390,시흥시,정왕동,1995,도시대기,2023-01-01 01:00,0.005,1.1,0.052,0.001,73,61.0
41390,시흥시,시화산단,1998,도시대기,2023-01-01 01:00,0.003,0.7,0.033,0.004,73,54.0
41390,시흥시,대야동,2002,도시대기,2023-01-01 01:00,0.004,1.4,0.062,0.002,59,
41390,시흥시,목감동,2019,도시대기,2023-01-01 01:00,0.003,0.8,0.046,0.001,45,38.0
41390,시흥시,장현동,2020,도시대기,2023-01-01 01:00,0.002,0.6,0.042,0.002,60,46.0
41390,시흥시,서해안로,2020,도로변대기,2023-01-01 01:00,0.004,1.8,0.053,0.001,71,59.0
41390,시흥시,배곧동,2021,도시대기,2023-01-01 01:00,0.003,0.9,0.047,0.002,69,58.0
41360,남양주시,금곡동,1999,도시대기,2023-01-01 01:00,0.002,1.0,0.048,0.002,48,
41360,남양주시,오남읍,2012,도시대기,2023-01-01 01:00,0.002,0.8,0.021,0.002,66,54.0
41360,남양주시,별내동,2018,도시대기,2023-01-01 01:00,0.002,0.8,0.048,0.001,60,50.0
41360,남양주시,화도읍,2018,도시대기,2023-01-01 01:00,0.003,1.1,0.05,0.001,73,59.0
41360,남양주시,경춘로,2019,도로변대기,2023-01-01 01:00,0.002,0.9,0.034,0.001,60,49.0
41360,남양주시,와부읍,2020,도시대기,2023-01-01 01:00,0.002,0.7,0.034,0.002,55,41.0
41360,남양주시,진접읍,2020,도시대기,2023-01-01 01:00,0.003,0.8,0.052,0.002,54,35.0
41220,평택시,비전동,1996,도시대기,2023-01-01 01:00,0.005,0.7,0.03,0.002,69,54.0
41220,평택시,안중,2008,도시대기,2023-01-01 01:00,0.003,0.4,0.019,0.016,56,42.0
41220,평택시,평택항,2013,도시대기,2023-01-01 01:00,0.002,0.5,0.02,0.014,56,45.0
41220,평택시,송북동,2018,도시대기,2023-01-01 01:00,0.003,0.9,0.041,0.001,69,55.0
41220,평택시,청북읍,2019,도시대기,2023-01-01 01:00,0.003,0.5,0.018,0.016,58,49.0
41220,평택시,고덕면,2020,도시대기,2023-01-01 01:00,0.002,0.6,0.034,0.004,53,46.0
41480,파주시,금촌동,2004,도시대기,2023-01-01 01:00,0.004,1.0,0.051,0.002,62,50.0
41480,파주시,운정,2012,도시대기,2023-01-01 01:00,0.004,0.8,0.048,0.003,45,27.0
41480,파주시,파주,2017,교외대기,2023-01-01 01:00,0.002,0.5,0.023,0.012,87,60.0
41480,파주시,파주읍,2019,도시대기,2023-01-01 01:00,0.004,0.6,0.036,0.003,54,36.0
41280,고양시,행신동,1998,도시대기,2023-01-01 01:00,0.004,0.8,0.055,0.002,64,47.0
41280,고양시,식사동,2002,도시대기,2023-01-01 01:00,0.004,0.8,0.049,0.004,63,48.0
41280,고양시,백마로(마두역),2004,도로변대기,2023-01-01 01:00,0.004,1.3,0.049,0.002,66,52.0
41280,고양시,신원동,2015,도시대기,2023-01-01 01:00,0.006,1.2,0.035,0.002,64,60.0
41280,고양시,주엽동,2018,도시대기,2023-01-01 01:00,0.004,0.7,0.039,0.008,52,48.0
41610,광주시,경안동,2006,도시대기,2023-01-01 01:00,0.002,1.1,0.047,0.002,88,61.0
41610,광주시,오포1동,2019,도시대기,2023-01-01 01:00,0.002,1.2,0.038,0.002,54,
41610,광주시,곤지암,2020,도시대기,2023-01-01 01:00,0.002,0.8,0.025,0.002,69,48.0
41460,용인시,김량장동,1999,도시대기,2023-01-01 01:00,0.002,0.7,0.029,0.004,49,
41460,용인시,수지,2005,도시대기,2023-01-01 01:00,0.002,0.7,0.043,0.002,47,38.0
41460,용인시,기흥,2007,도시대기,2023-01-01 01:00,0.002,0.9,0.042,0.003,52,37.0
41460,용인시,중부대로(구갈동),2011,도로변대기,2023-01-01 01:00,0.001,1.1,0.047,,52,44.0
41460,용인시,모현읍,2019,도시대기,2023-01-01 01:00,0.002,0.9,0.029,0.002,69,50.0
41460,용인시,이동읍,2019,도시대기,2023-01-01 01:00,0.002,0.8,0.026,0.003,71,54.0
41460,용인시,백암면,2019,도시대기,2023-01-01 01:00,0.002,0.7,0.023,0.002,66,64.0
41500,이천시,설성면,2000,교외대기,2023-01-01 01:00,0.001,0.4,0.016,0.013,70,57.0
41500,이천시,창전동,2003,도시대기,2023-01-01 01:00,0.005,0.8,0.032,0.001,65,58.0
41500,이천시,장호원읍,2018,도시대기,2023-01-01 01:00,0.002,0.4,0.019,0.001,61,51.0
41500,이천시,부발읍,2019,도시대기,2023-01-01 01:00,0.002,0.9,0.036,0.0,81,76.0
41650,포천시,관인면,2001,교외대기,2023-01-01 01:00,0.002,0.4,0.023,0.014,72,30.0
41650,포천시,선단동,2004,도시대기,2023-01-01 01:00,0.004,1.0,0.05,0.003,64,56.0
41650,포천시,일동면,2017,도시대기,2023-01-01 01:00,0.004,1.0,0.028,0.005,59,53.0
41570,김포시,사우동,1999,도시대기,2023-01-01 01:00,0.004,0.5,0.028,0.021,70,56.0
41570,김포시,고촌읍,2001,도시대기,2023-01-01 01:00,0.004,0.4,0.017,0.02,73,54.0
41570,김포시,월곶면,2001,도시대기,2023-01-01 01:00,0.003,0.6,0.016,0.02,78,61.0
41570,김포시,한강신도시,2019,도시대기,2023-01-01 01:00,0.003,0.6,0.016,0.017,84,62.0
41570,김포시,한강로,2020,도로변대기,2023-01-01 01:00,0.004,0.6,0.021,0.023,79,59.0
41410,군포시,당동,1997,도시대기,2023-01-01 01:00,0.002,1.0,0.061,0.001,57,34.0
41410,군포시,산본동,2002,도시대기,2023-01-01 01:00,0.003,0.7,0.044,0.002,55,42.0
41370,오산시,오산동,2000,도시대기,2023-01-01 01:00,0.002,0.7,0.038,0.002,52,42.0
41370,오산시,금암로(신장동),2019,도로변대기,2023-01-01 01:00,0.002,0.8,0.032,0.002,53,38.0
41450,하남시,신장동,2001,도시대기,2023-01-01 01:00,0.002,0.6,0.039,0.002,47,39.0
