YY,SIGUN_NM,GAS_EMISN_AMNT,GAS_REDUCT_AMNT,CRBN_REDUCT_AMNT,REDUCT_BIZ_REDUCT_AMNT,GAS_REDUCT_RT,STD_EMISN_AMNT
2019,양주시,2845,1606,343,0,39.094,4108
2019,양평군,12630,5779,488,251,32.705,17670
2019,여주시,11057,1374,102,229,11.355,12100
2019,연천군,7328,302,0,0,3.958,7630
2019,오산시,2420,747,286,14,26.055,2867
2019,용인시,14804,6835,1967,0,34.745,19672
2019,의왕시,3778,1984,135,0,35.259,5627
2019,의정부시,4901,2434,518,294,37.314,6523
2019,이천시,5064,1930,601,380,32.097,6013
2019,파주시,4648,2069,590,226,35.062,5901
2019,평택시,7787,3545,287,0,32.096,11045
2019,포천시,15764,1999,233,0,11.403,17530
2019,하남시,3776,1905,508,93,37.5,5080
2019,화성시,7974,2821,492,519,28.833,9784
2018,가평군,9595,3241,0,0,25.249,12836
2018,고양시,10515,1879,1126,0,16.676,11268
2018,과천시,5938,2130,284,0,27.364,7784
2018,광명시,8989,3434,1048,11,30.218,11364
2018,광주시,5992,2461,194,481,31.641,7778
2018,구리시,2789,1167,304,121,33.05,3531
2018,군포시,5966,1797,560,214,25.712,6989
2018,김포시,12259,5474,1515,0,33.753,16218
2018,남양주시,6683,5247,1084,0,48.377,10846
2018,동두천시,2869,774,329,24,23.526,3290
2018,부천시,10433,3849,1127,0,29.259,13155
2018,성남시,18564,5662,2177,270,25.998,21779
2018,수원시,19383,9925,2664,0,37.25,26644
2018,시흥시,6487,2581,820,47,31.472,8201
2018,안산시,14094,4984,1734,0,28.736,17344
2018,안성시,3041,1166,382,0,30.484,3825
2018,안양시,7974,3351,1029,0,32.547,10296
2018,양주시,3362,656,281,0,17.554,3737
2018,양평군,13058,3907,254,0,23.38,16711
2018,여주시,11332,23,100,0,0.204,11255
2018,연천군,7591,99,60,0,1.298,7630
2018,오산시,2482,671,286,0,23.404,2867
2018,용인시,14984,6655,1967,0,33.83,19672
2018,의왕시,3796,1522,317,0,30.434,5001
2018,의정부시,5077,2064,649,0,31.793,6492
2018,이천시,4920,1694,601,0,28.172,6013
2018,파주시,4885,1606,590,0,27.216,5901
2018,평택시,7845,879,147,272,10.584,8305
2018,포천시,16613,1259,175,167,7.182,17530
2018,하남시,3976,635,96,4,14.077,4511
2018,화성시,6535,2498,302,214,29.33,8517
2021,고양시,9517,4169,1227,150,33.87,12309
2021,과천시,5721,2491,351,80,32.014,7781
2021,광명시,8358,3921,581,0,33.519,11698
2021,광주시,5828,3402,450,1001,43.733,7779
2021,구리시,3116,1696,384,414,42.252,4014
2021,군포시,5730,2450,721,245,33.962,7214
2021,김포시,13208,5938,651,1250,34.433,17245
2021,남양주시,7277,4721,1044,0,43.098,10954
2021,동두천시,2666,1269,211,0,34.076,3724
2021,부천시,10154,4586,1340,0,34.224,13400
2021,성남시,15767,8400,1757,0,37.483,22410
2021,수원시,18417,12243,2787,0,43.924,27873
2021,시흥시,6127,3956,802,0,42.625,9281
2021,안산시,14001,6464,1860,0,34.743,18605
2021,안성시,3473,1550,172,15,32.051,4836
2021,안양시,7874,4063,868,0,36.706,11069
2021,양주시,3458,1648,433,290,37.6,4383
2021,양평군,13076,6315,554,1060,35.523,17777
2021,여주시,11435,3922,201,1263,28.23,13893
2021,연천군,2560,1057,267,200,33.556,3150
2021,오산시,2447,932,283,186,32.027,2910
2021,용인시,14092,8062,1780,40,39.648,20334
2021,의왕시,3770,2383,526,0,42.349,5627
2021,의정부시,5213,2241,677,0,33.068,6777
2021,이천시,5280,2350,682,121,34.422,6827
2021,파주시,4751,2352,608,259,37.716,6236
2021,평택시,8805,3540,473,812,32.007,11060
2021,포천시,19981,4163,340,1427,18.604,22377
2021,하남시,3426,2250,502,146,44.749,5028
2021,화성시,8193,3214,981,614,32.756,9812
2020,가평군,8926,1808,390,0,17.479,10344
2020,고양시,9654,3949,1227,100,32.168,12276
2020,과천시,5455,2637,306,0,33.868,7786
2020,광명시,7648,4174,793,0,37.846,11029
2020,광주시,5896,3197,538,777,41.103,7778
2020,구리시,2516,1723,353,353,48.769,3533
2020,군포시,5545,2316,358,321,32.247,7182
2020,김포시,12782,6013,781,663,34.655,17351
2020,남양주시,7172,4299,1042,0,41.222,10429
2020,동두천시,2441,1562,266,214,44.337,3523
2020,부천시,8831,5516,1072,0,41.552,13275
2020,성남시,15499,8852,2213,0,39.986,22138
2020,수원시,16919,12371,2662,0,46.459,26628
2020,시흥시,5657,2814,0,0,33.219,8471
2020,안산시,13014,7150,1833,0,39.005,18331
2020,안성시,3232,1370,172,0,30.926,4430
2020,안양시,6575,4831,932,0,46.124,10474
2020,양주시,3033,1734,433,0,40.009,4334
2020,양평군,12031,6048,302,0,34.021,17777
2020,여주시,11027,1991,143,379,15.933,12496
2020,연천군,2495,989,160,148,31.14,3176
2020,오산시,2183,1180,280,280,42.098,2803
2020,용인시,13248,8700,1995,0,43.602,19953
2020,의왕시,3663,2243,279,0,39.861,5627
2020,의정부시,4505,2419,401,0,37.084,6523
