SIGUN_NM,SIGUN_CD,FODNDRK_WST_OCCUR_QTY,POPLTN_CNT,DAY1_PSN1_OCCUR_QTY,DATA_STD_DE
수원시,41110,101098.3,1216965,0.23,
고양시,41280,105111.0,1090339,0.26,
성남시,41130,80981.6,945037,0.23,
용인시,41460,100129.5,1093665,0.25,
부천시,41190,33505.9,829846,0.11,
안산시,41270,63907.7,700138,0.25,
남양주시,41360,58439.8,740856,0.22,
안양시,41170,44065.8,553249,0.22,
화성시,41590,38697.2,922092,0.11,
평택시,41220,59539.6,588046,0.28,
의정부시,41150,41619.6,468339,0.24,
시흥시,41390,55922.7,543553,0.28,
파주시,41480,32329.9,493503,0.18,
김포시,41570,30125.2,504267,0.16,
광명시,41210,18318.3,296471,0.17,
광주시,41610,35586.8,398225,0.24,
군포시,41410,21269.0,274100,0.21,
오산시,41370,21641.1,238579,0.25,
이천시,41500,31032.3,229854,0.37,
양주시,41630,28105.5,243071,0.32,
안성시,41550,14229.9,200408,0.19,
구리시,41310,17602.4,193351,0.25,
포천시,41650,11818.2,160209,0.2,
의왕시,41430,15481.3,164363,0.26,
하남시,41450,25386.9,322271,0.22,
여주시,41670,13924.1,115317,0.33,
양평군,41830,7088.8,122539,0.16,
동두천시,41250,10171.6,96860,0.29,
과천시,41290,4613.6,73528,0.17,
가평군,41820,7107.9,63268,0.31,
연천군,41800,2774.3,43553,0.17,
